@relation quake
@attribute Focal_depth integer [0,656]
@attribute Latitude real [-66.49,78.15]
@attribute Longitude real [-179.96,180]
@attribute Richter real [5.8,6.9]
@inputs Focal_depth, Latitude, Longitude
@outputs Richter
@data
6,-55.92,-28.07,6.1
189,-7.11,129.06,6
27,-3.66,141.74,5.8
33,-4.4,-102.1,6
14,41.42,79.2,5.8
18,51.76,176.08,6.1
12,-9.43,148.94,5.9
86,-15.86,-172.97,5.9
29,-39.78,-104.87,6
111,-5.42,154.28,5.8
36,-25.67,-70.63,6.3
33,-55.19,-128.87,5.8
32,39.83,143.16,5.9
24,30.61,103.05,5.8
17,60.73,-141.55,6.2
0,73.39,54.65,6.3
7,-8.12,156.35,6
11,-16.85,174.9,5.8
44,38.54,142.14,6
46,40.22,143.55,5.9
8,6.22,124.11,6.4
33,-48.95,164.46,6.1
79,-6.04,148.77,5.8
36,14.01,124.37,5.9
13,55.72,-155.95,6.1
58,-5.97,144.38,6.3
58,49.98,156.22,6
38,-9.42,159.34,5.8
48,24.17,122.39,6
0,49.85,78.87,6.1
49,38.71,142.75,6.1
0,49.91,78.92,5.8
147,-39.02,175.23,6.4
99,52.85,159.22,6.4
10,-3.79,134.01,5.8
124,48.04,153.13,5.8
88,-55.99,-27.62,5.8
30,52.74,172.05,5.8
215,-13.35,167.13,5.9
56,27.49,128.48,5.8
21,-20.01,-174.23,6.3
33,-5.53,151.84,5.8
88,-17.32,-70.53,5.8
7,39.16,71.35,5.9
69,-12.25,166.61,5.9
31,16.3,122.11,5.9
21,-3.94,152.04,5.8
27,-60.33,-27.25,5.9
63,-3.21,145.43,5.9
21,12.15,143.82,6
37,-5.96,146.33,5.9
0,49.88,78.96,5.8
70,-5.96,154.43,5.8
160,0.4,122.11,6.1
0,49.91,78.94,6
82,-4.93,130.09,6
35,31.5,100.33,5.9
39,-3.1,148,6.2
0,49.94,78.85,6.1
10,33.96,59.53,5.9
62,-9.98,162.06,5.9
56,53.97,-165.22,5.8
43,51.32,-179.44,6.3
0,49.87,78.97,5.9
87,-6.55,147.28,5.8
61,-34,-71.45,6.2
164,-5.6,148.35,5.9
1,27.4,88.8,6
52,-56.03,-27.47,5.9
33,-16.22,-173.08,6
